src_idx,dst_idx,weight
1727,1982,4.45019830559594
1727,477,4.45019830559594
1727,4,4.45019830559594
1727,584,4.45019830559594
1727,1207,4.45019830559594
1727,1568,4.45019830559594
1727,1183,4.45019830559594
1727,2014,4.45019830559594
1864,1128,4.45019830559594
1864,932,4.45019830559594
1864,375,4.45019830559594
1149,236,4.45019830559594
1149,1744,4.45019830559594
1149,602,4.45019830559594
1149,1378,4.45019830559594
1149,649,4.45019830559594
1149,1674,4.45019830559594
1149,519,4.45019830559594
1149,1290,4.45019830559594
1149,523,4.45019830559594
1149,1947,4.45019830559594
1149,1534,4.45019830559594
1149,1395,4.45019830559594
1149,1897,4.45019830559594
1149,313,4.45019830559594
1149,1616,4.45019830559594
1149,828,4.45019830559594
1149,304,4.45019830559594
1149,909,4.45019830559594
1149,565,4.45019830559594
1149,1087,4.45019830559594
1149,435,4.45019830559594
1149,1167,4.45019830559594
1149,935,4.45019830559594
1149,792,4.45019830559594
1149,2047,4.45019830559594
1149,377,4.45019830559594
1149,1778,4.45019830559594
1149,273,4.45019830559594
781,1374,4.45019830559594
781,1616,4.45019830559594
781,565,4.45019830559594
781,1087,4.45019830559594
250,1461,4.45019830559594
250,1062,4.45019830559594
250,1470,4.45019830559594
250,358,4.45019830559594
250,1835,4.45019830559594
250,1628,4.45019830559594
250,489,4.45019830559594
250,636,4.45019830559594
250,1405,4.45019830559594
115,1885,4.45019830559594
115,1843,4.45019830559594
1766,1371,4.45019830559594
1766,173,4.45019830559594
1766,341,4.45019830559594
1766,513,4.45019830559594
1766,893,4.45019830559594
1766,388,4.45019830559594
1766,1122,4.45019830559594
1766,1881,4.45019830559594
1766,761,4.45019830559594
1766,1659,4.45019830559594
1766,398,4.45019830559594
1766,1315,4.45019830559594
805,1826,4.45019830559594
236,1744,4.45019830559594
236,539,4.45019830559594
236,602,4.45019830559594
236,1378,4.45019830559594
236,951,4.45019830559594
236,523,4.45019830559594
236,1534,4.45019830559594
236,1897,4.45019830559594
236,1616,4.45019830559594
236,565,4.45019830559594
236,1087,4.45019830559594
236,1167,4.45019830559594
236,935,4.45019830559594
236,2047,4.45019830559594
236,377,4.45019830559594
236,273,4.45019830559594
1744,539,4.45019830559594
1744,1330,4.45019830559594
1744,1378,4.45019830559594
1744,1858,4.45019830559594
1744,519,4.45019830559594
1744,1813,4.45019830559594
1744,469,4.45019830559594
1744,1290,4.45019830559594
1744,735,4.45019830559594
1744,523,4.45019830559594
1744,1395,4.45019830559594
1744,1897,4.45019830559594
1744,313,4.45019830559594
1744,1616,4.45019830559594
1744,828,4.45019830559594
1744,304,4.45019830559594
1744,1083,4.45019830559594
1744,1203,4.45019830559594
1744,647,4.45019830559594
1744,1423,4.45019830559594
1744,565,4.45019830559594
1744,1087,4.45019830559594
1744,1243,4.45019830559594
1744,435,4.45019830559594
1744,1167,4.45019830559594
1744,935,4.45019830559594
1744,792,4.45019830559594
1744,2047,4.45019830559594
1744,377,4.45019830559594
1744,1778,4.45019830559594
1744,273,4.45019830559594
1744,2090,4.45019830559594
539,1378,4.45019830559594
539,523,4.45019830559594
539,1395,4.45019830559594
539,1897,4.45019830559594
539,1616,4.45019830559594
539,565,4.45019830559594
539,1087,4.45019830559594
539,935,4.45019830559594
539,792,4.45019830559594
539,2047,4.45019830559594
539,273,4.45019830559594
47,205,4.45019830559594
47,1068,4.45019830559594
47,243,4.45019830559594
47,612,4.45019830559594
47,1816,4.45019830559594
47,161,4.45019830559594
1713,82,4.45019830559594
1713,1372,4.45019830559594
1713,1514,4.45019830559594
1713,1878,4.45019830559594
1713,208,4.45019830559594
1713,401,4.45019830559594
602,1674,4.45019830559594
602,794,4.45019830559594
602,1074,4.45019830559594
602,2047,4.45019830559594
602,156,4.45019830559594
152,1291,4.45019830559594
152,1261,4.45019830559594
152,1853,4.45019830559594
152,494,4.45019830559594
152,1490,4.45019830559594
152,1483,4.45019830559594
152,705,4.45019830559594
152,325,4.45019830559594
152,2005,4.45019830559594
678,607,4.45019830559594
678,1237,4.45019830559594
678,610,4.45019830559594
678,1376,4.45019830559594
678,1892,4.45019830559594
1355,553,4.45019830559594
1355,311,4.45019830559594
1355,891,4.45019830559594
1355,293,4.45019830559594
1355,966,4.45019830559594
1355,2086,4.45019830559594
13,36,4.45019830559594
1330,1378,4.45019830559594
1330,1616,4.45019830559594
1330,565,4.45019830559594
1330,1087,4.45019830559594
1330,2047,4.45019830559594
102,830,4.45019830559594
102,174,4.45019830559594
102,3,4.45019830559594
102,1277,4.45019830559594
102,442,4.45019830559594
102,315,4.45019830559594
102,456,4.45019830559594
102,119,4.45019830559594
102,621,4.45019830559594
102,1198,4.45019830559594
102,1996,4.45019830559594
102,2030,4.45019830559594
102,1332,4.45019830559594
102,1195,4.45019830559594
102,850,4.45019830559594
102,1515,4.45019830559594
102,2031,4.45019830559594
102,1345,4.45019830559594
102,2095,4.45019830559594
102,829,4.45019830559594
102,1058,4.45019830559594
406,51,4.45019830559594
1748,684,4.45019830559594
1748,1862,4.45019830559594
1748,113,4.45019830559594
1748,67,4.45019830559594
1748,1102,4.45019830559594
1748,1863,4.45019830559594
1291,1261,4.45019830559594
1291,1177,4.45019830559594
1291,1853,4.45019830559594
1291,494,4.45019830559594
1291,1490,4.45019830559594
1291,1483,4.45019830559594
1291,705,4.45019830559594
1291,2063,4.45019830559594
1291,2005,4.45019830559594
1982,477,4.45019830559594
1982,4,4.45019830559594
1982,1207,4.45019830559594
1982,1138,4.45019830559594
1982,1183,4.45019830559594
1982,2014,4.45019830559594
542,288,4.45019830559594
542,1647,4.45019830559594
542,771,4.45019830559594
542,1271,4.45019830559594
753,832,4.45019830559594
753,1293,4.45019830559594
753,2028,4.45019830559594
753,715,4.45019830559594
753,1498,4.45019830559594
1374,1378,4.45019830559594
1374,519,4.45019830559594
1374,1290,4.45019830559594
1374,1534,4.45019830559594
1374,1616,4.45019830559594
1374,2047,4.45019830559594
870,1897,4.45019830559594
1569,1072,4.45019830559594
1569,1870,4.45019830559594
1569,1638,4.45019830559594
1569,1741,4.45019830559594
1569,1017,4.45019830559594
1569,195,4.45019830559594
1569,1693,4.45019830559594
1569,279,4.45019830559594
1569,1187,4.45019830559594
1569,1059,4.45019830559594
1768,688,4.45019830559594
1768,590,4.45019830559594
1768,1607,4.45019830559594
1768,223,4.45019830559594
1768,1060,4.45019830559594
1768,960,4.45019830559594
1768,1612,4.45019830559594
1768,2002,4.45019830559594
1768,145,4.45019830559594
1768,1412,4.45019830559594
1768,1208,4.45019830559594
1621,530,4.45019830559594
1430,1534,4.45019830559594
1430,1400,4.45019830559594
1430,161,4.45019830559594
1316,477,4.45019830559594
1316,1007,4.45019830559594
1316,1687,4.45019830559594
1316,560,4.45019830559594
1316,49,4.45019830559594
1316,2014,4.45019830559594
1126,1732,4.45019830559594
1126,411,4.45019830559594
1126,1032,4.45019830559594
1126,467,4.45019830559594
1126,1987,4.45019830559594
1126,1570,4.45019830559594
1126,224,4.45019830559594
1126,1361,4.45019830559594
1126,2066,4.45019830559594
1126,48,4.45019830559594
1126,1684,4.45019830559594
1126,880,4.45019830559594
1126,1872,4.45019830559594
1126,1464,4.45019830559594
1126,1161,4.45019830559594
1126,463,4.45019830559594
1126,1421,4.45019830559594
1126,699,4.45019830559594
1126,1821,4.45019830559594
1126,1033,4.45019830559594
1378,1858,4.45019830559594
1378,1827,4.45019830559594
1378,1367,4.45019830559594
1378,519,4.45019830559594
1378,1813,4.45019830559594
1378,1290,4.45019830559594
1378,523,4.45019830559594
1378,1947,4.45019830559594
1378,1534,4.45019830559594
1378,897,4.45019830559594
1378,1395,4.45019830559594
1378,183,4.45019830559594
1378,988,4.45019830559594
1378,702,4.45019830559594
1378,1897,4.45019830559594
1378,1715,4.45019830559594
1378,313,4.45019830559594
1378,1616,4.45019830559594
1378,828,4.45019830559594
1378,304,4.45019830559594
1378,2059,4.45019830559594
1378,1141,4.45019830559594
1378,369,4.45019830559594
1378,1083,4.45019830559594
1378,565,4.45019830559594
1378,1087,4.45019830559594
1378,396,4.45019830559594
1378,1167,4.45019830559594
1378,935,4.45019830559594
1378,2047,4.45019830559594
1378,1775,4.45019830559594
1378,1778,4.45019830559594
1378,273,4.45019830559594
878,1155,4.45019830559594
118,1395,4.45019830559594
118,2047,4.45019830559594
951,1395,4.45019830559594
951,1616,4.45019830559594
951,435,4.45019830559594
951,1167,4.45019830559594
951,2047,4.45019830559594
959,966,4.45019830559594
1732,411,4.45019830559594
1732,1032,4.45019830559594
1732,467,4.45019830559594
1732,1987,4.45019830559594
1732,1570,4.45019830559594
1732,224,4.45019830559594
1732,1361,4.45019830559594
1732,2066,4.45019830559594
1732,48,4.45019830559594
1732,1684,4.45019830559594
1732,880,4.45019830559594
1732,1872,4.45019830559594
1732,1464,4.45019830559594
1732,1161,4.45019830559594
1732,463,4.45019830559594
1732,1421,4.45019830559594
1732,699,4.45019830559594
1732,1821,4.45019830559594
1732,1033,4.45019830559594
1072,1870,4.45019830559594
1072,1638,4.45019830559594
1072,1741,4.45019830559594
1072,1017,4.45019830559594
1072,195,4.45019830559594
1072,1693,4.45019830559594
1072,279,4.45019830559594
1072,1187,4.45019830559594
1072,1059,4.45019830559594
1128,375,4.45019830559594
830,3,4.45019830559594
830,460,4.45019830559594
830,1277,4.45019830559594
830,1565,4.45019830559594
830,442,4.45019830559594
830,456,4.45019830559594
830,1195,4.45019830559594
1757,1984,4.45019830559594
1757,364,4.45019830559594
1757,714,4.45019830559594
1757,1811,4.45019830559594
1757,1048,4.45019830559594
411,1032,4.45019830559594
411,467,4.45019830559594
411,1987,4.45019830559594
411,1570,4.45019830559594
411,224,4.45019830559594
411,1361,4.45019830559594
411,2066,4.45019830559594
411,48,4.45019830559594
411,1684,4.45019830559594
411,880,4.45019830559594
411,1872,4.45019830559594
411,1464,4.45019830559594
411,1161,4.45019830559594
411,463,4.45019830559594
411,1421,4.45019830559594
411,699,4.45019830559594
411,1821,4.45019830559594
411,1033,4.45019830559594
174,315,4.45019830559594
174,2030,4.45019830559594
174,1332,4.45019830559594
174,2095,4.45019830559594
174,1058,4.45019830559594
746,331,4.45019830559594
932,375,4.45019830559594
1858,519,4.45019830559594
1858,1290,4.45019830559594
1858,523,4.45019830559594
1858,1395,4.45019830559594
1858,1897,4.45019830559594
1858,1616,4.45019830559594
1858,828,4.45019830559594
1858,1083,4.45019830559594
1858,647,4.45019830559594
1858,1423,4.45019830559594
1858,565,4.45019830559594
1858,1087,4.45019830559594
1858,1167,4.45019830559594
1858,935,4.45019830559594
1858,792,4.45019830559594
1858,2047,4.45019830559594
1858,377,4.45019830559594
1858,273,4.45019830559594
1827,313,4.45019830559594
1827,1616,4.45019830559594
1827,565,4.45019830559594
1827,1087,4.45019830559594
1827,922,4.45019830559594
1827,2047,4.45019830559594
1827,1775,4.45019830559594
649,1897,4.45019830559594
649,2047,4.45019830559594
836,1280,4.45019830559594
170,2085,4.45019830559594
386,2091,4.45019830559594
386,127,4.45019830559594
386,1413,4.45019830559594
1600,1993,4.45019830559594
1261,1853,4.45019830559594
1261,1483,4.45019830559594
1261,705,4.45019830559594
288,1349,4.45019830559594
288,1647,4.45019830559594
288,771,4.45019830559594
288,1271,4.45019830559594
288,2083,4.45019830559594
288,1292,4.45019830559594
1853,494,4.45019830559594
1853,1483,4.45019830559594
1853,705,4.45019830559594
477,4,4.45019830559594
477,1207,4.45019830559594
477,1007,4.45019830559594
477,1687,4.45019830559594
477,1568,4.45019830559594
477,1138,4.45019830559594
477,1183,4.45019830559594
477,49,4.45019830559594
477,2014,4.45019830559594
1461,1470,4.45019830559594
1461,358,4.45019830559594
1822,138,4.45019830559594
1224,2053,4.45019830559594
1224,1603,4.45019830559594
1224,1117,4.45019830559594
1224,1861,4.45019830559594
553,311,4.45019830559594
553,891,4.45019830559594
553,293,4.45019830559594
553,682,4.45019830559594
553,966,4.45019830559594
553,2086,4.45019830559594
311,891,4.45019830559594
311,293,4.45019830559594
311,682,4.45019830559594
311,966,4.45019830559594
311,2086,4.45019830559594
1426,80,4.45019830559594
1870,1638,4.45019830559594
1870,1741,4.45019830559594
1870,1017,4.45019830559594
1870,195,4.45019830559594
1870,1693,4.45019830559594
1870,279,4.45019830559594
1870,1187,4.45019830559594
1870,1059,4.45019830559594
1062,1470,4.45019830559594
1062,358,4.45019830559594
1062,1835,4.45019830559594
1062,1628,4.45019830559594
1062,489,4.45019830559594
1062,636,4.45019830559594
1062,1405,4.45019830559594
1062,1805,4.45019830559594
688,590,4.45019830559594
688,1607,4.45019830559594
688,223,4.45019830559594
688,1060,4.45019830559594
688,960,4.45019830559594
688,1612,4.45019830559594
688,2002,4.45019830559594
688,1412,4.45019830559594
688,1208,4.45019830559594
1168,1985,4.45019830559594
1168,778,4.45019830559594
726,371,4.45019830559594
726,656,4.45019830559594
726,420,4.45019830559594
726,1740,4.45019830559594
726,894,4.45019830559594
726,151,4.45019830559594
726,1689,4.45019830559594
4,584,4.45019830559594
4,1207,4.45019830559594
4,1007,4.45019830559594
4,1568,4.45019830559594
4,1138,4.45019830559594
4,1183,4.45019830559594
4,2014,4.45019830559594
1349,771,4.45019830559594
806,736,4.45019830559594
806,739,4.45019830559594
806,1207,4.45019830559594
806,1007,4.45019830559594
806,1183,4.45019830559594
806,1646,4.45019830559594
806,1051,4.45019830559594
1367,1290,4.45019830559594
1367,1947,4.45019830559594
1367,1395,4.45019830559594
1367,1897,4.45019830559594
1367,1616,4.45019830559594
1367,565,4.45019830559594
1367,1087,4.45019830559594
1367,935,4.45019830559594
1367,2047,4.45019830559594
1367,1778,4.45019830559594
592,1614,4.45019830559594
494,1483,4.45019830559594
494,705,4.45019830559594
494,2005,4.45019830559594
1032,467,4.45019830559594
1032,1987,4.45019830559594
1032,1570,4.45019830559594
1032,224,4.45019830559594
1032,1361,4.45019830559594
1032,2066,4.45019830559594
